"date","email_type","send_size_delivered","opens","clicks","open_rate","click_rate","cto_rate","number_companies","investments_1_day","investments_7_day","volume_1_day","volume_7_day","avg_investment_1_day","x1_day_volume_sends","investments_1_day_open","month","weekday"
2023-04-04,"Other",41490,12965,199,0.3125,0.0048,0.0153,0,0,0,0,0,"$NaN",0,0,"Apr","Tue"
2023-04-05,"Other",68226,22440,247,0.3289,0.0036,0.011,1,5,9,2400,6500,"480.0",0.04,0.22,"Apr","Wed"
2023-04-06,"Weekly Newsletter",881,485,46,0.5505,0.0522,0.0948,2,2,4,4500,4850,"2250.0",5.11,4.12,"Apr","Thu"
2023-04-06,"Weekly Newsletter",458874,106007,1754,0.231,0.0038,0.0165,20,40,153,38250,128987,"956.25",0.08,0.38,"Apr","Thu"
2023-04-06,"Weekly Newsletter",459730,106538,1734,0.2317,0.0038,0.0163,20,39,141,64450,148712,"1652.56",0.14,0.37,"Apr","Thu"
2023-04-06,"250k email",41490,13068,199,0.315,0.0048,0.0152,1,7,15,15300,23301,"2185.71",0.37,0.54,"Apr","Thu"
2023-04-10,"250k email",27051,9682,146,0.3579,0.0054,0.0151,1,9,9,5150,5150,"572.22",0.19,0.93,"Apr","Mon"
2023-04-10,"250k email",27195,9827,187,0.3614,0.0069,0.019,1,5,6,845,945,"169.0",0.03,0.51,"Apr","Mon"
2023-04-10,"500k email",29685,10556,118,0.3556,0.004,0.0112,1,3,8,850,3100,"283.33",0.03,0.28,"Apr","Mon"
2023-04-11,"250k email",22865,8165,90,0.3571,0.0039,0.011,1,2,2,400,400,"200.0",0.02,0.24,"Apr","Tue"
2023-04-11,"250k email",22920,8174,99,0.3566,0.0043,0.0121,1,1,1,200,200,"200.0",0.01,0.12,"Apr","Tue"
2023-04-11,"250k email",6478,2250,37,0.3473,0.0057,0.0164,1,0,2,0,1300,"$NaN",0,0,"Apr","Tue"
2023-04-11,"500k email",40062,10632,142,0.2654,0.0035,0.0134,1,7,8,1750,2050,"250.0",0.04,0.66,"Apr","Tue"
2023-04-11,"Other",953,611,37,0.6411,0.0388,0.0606,0,0,0,0,0,"$NaN",0,0,"Apr","Tue"
2023-04-11,"Other",2739,1980,459,0.7229,0.1676,0.2318,1,250,594,224726,937749,"898.9",82.05,126.26,"Apr","Tue"
2023-04-11,"Other",2739,1980,459,0.7229,0.1676,0.2318,1,250,594,224726,937749,"898.9",82.05,126.26,"Apr","Tue"
